address,공시가격,좌표,초등학교,중학교,고등학교,유치원,학원,병원,약국,보건소,헬스장,체육관,수영장,영화관,카페,공원,놀이터,도서관,백화점,대형마트,복합쇼핑센터,시장,사회복지관,경로당,어린이집
서울특별시 강남구 개포동,1339497589,"37.478260,127.052024",5,2,4,4,178,92,27,0,3,2,0,0,78,8,9,2,0,0,0,0,2,24,4
서울특별시 강남구 논현동,1211834590,"37.513093,127.031353",2,1,0,3,174,449,82,0,8,0,0,13,330,6,3,2,0,0,0,0,0,10,3
서울특별시 강남구 대치동,1701007762,"37.501711,127.057851",4,4,3,4,1558,286,59,0,9,0,3,0,291,7,7,4,1,0,0,0,0,30,4
서울특별시 강남구 도곡동,1877546286,"37.486509,127.040738",2,4,3,3,164,127,33,0,4,0,0,1,131,9,2,2,0,0,0,0,0,19,3
서울특별시 강남구 삼성동,1414659119,"37.512792,127.053085",2,2,1,1,139,168,34,1,6,0,0,3,309,3,1,2,1,0,4,0,0,25,1
서울특별시 강남구 세곡동,1271705314,"37.466494,127.103021",2,0,0,4,40,17,4,0,0,0,0,0,19,5,7,1,0,0,0,0,0,10,4
서울특별시 강남구 수서동,1054632436,"37.485767,127.098137",2,2,2,4,28,40,15,0,2,1,0,0,46,4,7,1,0,0,0,0,3,9,3
서울특별시 강남구 신사동,1761464460,"37.522893,127.028589",1,1,0,1,461,660,74,0,5,0,4,5,349,1,4,1,0,0,1,0,0,6,1
서울특별시 강남구 압구정동,2987880196,"37.528752,127.031766",1,2,3,1,41,13,5,0,0,0,1,0,26,3,3,1,3,0,0,0,0,8,1
서울특별시 강남구 역삼동,819200531.3,"37.500335,127.037596",2,2,1,1,408,555,103,0,25,0,0,8,594,11,5,3,0,1,0,0,0,26,1
서울특별시 강남구 율현동,915230769.2,"37.471450,127.107251",0,0,0,0,3,5,1,0,0,0,0,0,7,1,1,1,0,0,0,0,0,4,0
서울특별시 강남구 일원동,1535207169,"37.491326,127.083799",4,1,3,3,98,47,28,0,1,0,1,0,35,3,4,3,0,0,0,0,1,20,3
서울특별시 강남구 자곡동,762612060.3,"37.476796,127.100387",2,1,1,2,37,10,5,0,0,0,1,0,18,7,2,2,0,0,0,0,0,11,2
서울특별시 강남구 청담동,1659374615,"37.523404,127.046858",2,1,1,3,128,243,26,0,6,0,0,0,152,1,3,2,1,0,0,0,0,16,2
서울특별시 강동구 강일동,703009947.6,"37.569204,127.171620",3,3,1,3,68,29,12,1,2,0,1,0,8,3,4,1,0,0,0,0,0,14,3
서울특별시 강동구 고덕동,1085453237,"37.561068,127.160582",4,3,3,3,101,46,14,0,1,0,0,0,39,7,5,1,0,0,0,0,0,13,3
서울특별시 강동구 길동,440208133.4,"37.539123,127.143163",3,1,0,5,96,108,35,0,2,0,0,0,72,0,4,1,0,0,0,0,0,13,4
서울특별시 강동구 둔촌동,730859005.2,"37.531157,127.142891",2,3,2,2,72,27,18,0,1,0,0,0,48,1,1,1,0,0,0,0,0,16,2
서울특별시 강동구 명일동,882567632.3,"37.549276,127.147555",3,0,1,5,332,135,40,0,2,0,1,0,91,2,8,0,0,2,0,0,0,13,5
서울특별시 강동구 상일동,1032433862,"37.548220,127.170630",4,2,5,6,60,25,10,0,1,0,2,0,57,3,6,0,0,0,0,0,0,9,6
서울특별시 강동구 성내동,508963826.9,"37.531338,127.129174",2,1,0,2,189,170,43,1,3,0,1,3,212,1,6,1,0,0,0,0,1,17,2
서울특별시 강동구 암사동,719537204.1,"37.552497,127.133010",3,2,1,3,196,84,23,0,1,0,0,0,99,4,6,1,0,1,0,1,0,24,3
서울특별시 강동구 천호동,459336750.9,"37.543676,127.131748",3,4,1,4,127,188,60,0,5,0,0,1,162,0,13,2,1,2,0,1,1,23,4
서울특별시 강북구 미아동,461559225.9,"37.621298,127.024902",7,6,6,7,257,231,74,0,8,0,0,4,143,7,15,5,1,5,2,0,1,47,7
서울특별시 강북구 번동,265630795.4,"37.635123,127.032072",3,2,0,3,66,74,28,1,1,0,0,1,40,2,7,1,0,0,0,2,3,30,3
서울특별시 강북구 수유동,293740725.3,"37.639388,127.017183",4,4,1,8,118,139,62,0,9,0,0,3,119,1,13,1,0,1,1,2,0,26,8
서울특별시 강북구 우이동,315574157.3,"37.658785,127.011190",0,0,0,0,6,6,5,0,0,0,0,0,22,1,0,0,0,0,0,0,0,3,0
서울특별시 강서구 가양동,601931687,"37.568238,126.845059",3,2,3,9,43,54,19,0,1,1,1,0,54,4,10,5,0,2,0,0,3,29,9
서울특별시 강서구 개화동,799416666.7,"37.582069,126.801198",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0
