,법정동명,공시가격
195,서울특별시 성북구 안암동2가,76517730.26315789
196,서울특별시 성북구 안암동3가,164414668.51787573
197,서울특별시 성북구 안암동4가,90769287.54813863
198,서울특별시 성북구 안암동5가,88648136.33645605
199,서울특별시 성북구 장위동,158572565.11800122
200,서울특별시 성북구 정릉동,185510834.82864603
201,서울특별시 성북구 종암동,254706205.75039876
202,서울특별시 성북구 하월곡동,278632544.4596443
203,서울특별시 송파구 가락동,381554564.83170265
204,서울특별시 송파구 거여동,260371986.8852459
205,서울특별시 송파구 마천동,239011402.6045425
206,서울특별시 송파구 문정동,471053282.71549803
207,서울특별시 송파구 방이동,486958311.74379456
208,서울특별시 송파구 삼전동,153709597.30415165
209,서울특별시 송파구 석촌동,187068695.84293082
210,서울특별시 송파구 송파동,339755443.51452035
211,서울특별시 송파구 신천동,749208214.237578
212,서울특별시 송파구 오금동,362978874.0063883
213,서울특별시 송파구 잠실동,745936972.4987898
214,서울특별시 송파구 장지동,456188195.86457616
215,서울특별시 송파구 풍납동,321047430.73866713
216,서울특별시 양천구 목동,432316933.0048829
217,서울특별시 양천구 신월동,138504222.32384408
218,서울특별시 양천구 신정동,327779873.68848884
219,서울특별시 영등포구 당산동,302928915.43420553
220,서울특별시 영등포구 당산동1가,281747029.5001365
221,서울특별시 영등포구 당산동2가,270010251.10505027
222,서울특별시 영등포구 당산동3가,350455307.8449175
223,서울특별시 영등포구 당산동4가,378735875.19419986
224,서울특별시 영등포구 당산동5가,509435610.80372745
225,서울특별시 영등포구 당산동6가,140770283.80634388
226,서울특별시 영등포구 대림동,221142332.80995983
227,서울특별시 영등포구 도림동,238677231.8655814
228,서울특별시 영등포구 문래동1가,144856164.38356164
229,서울특별시 영등포구 문래동2가,229623717.94871795
230,서울특별시 영등포구 문래동3가,498069244.8392997
231,서울특별시 영등포구 문래동4가,307455506.60792947
232,서울특별시 영등포구 문래동5가,279301644.6048937
233,서울특별시 영등포구 문래동6가,272285926.3747917
234,서울특별시 영등포구 신길동,260805066.51523632
235,서울특별시 영등포구 양평동,234694444.44444445
236,서울특별시 영등포구 양평동1가,251281822.97154903
237,서울특별시 영등포구 양평동2가,227785498.77828532
238,서울특별시 영등포구 양평동3가,309270098.8288563
239,서울특별시 영등포구 양평동4가,211008722.2781156
240,서울특별시 영등포구 양평동5가,293060210.3809601
241,서울특별시 영등포구 양평동6가,211078235.37251765
242,서울특별시 영등포구 여의도동,780995167.1590732
243,서울특별시 영등포구 영등포동,312546730.4194356
244,서울특별시 영등포구 영등포동1가,106969166.35420571
245,서울특별시 영등포구 영등포동2가,115919854.19198056
246,서울특별시 영등포구 영등포동3가,85817464.11483254
247,서울특별시 영등포구 영등포동4가,96368605.27732904
248,서울특별시 영등포구 영등포동5가,155160800.25007814
249,서울특별시 영등포구 영등포동6가,136062629.75778547
250,서울특별시 영등포구 영등포동7가,371521297.4952003
251,서울특별시 영등포구 영등포동8가,420023481.5557784
252,서울특별시 용산구 갈월동,236934990.95840868
253,서울특별시 용산구 남영동,367905882.3529412
254,서울특별시 용산구 도원동,390044401.04633254
255,서울특별시 용산구 동빙고동,492595062.335958
256,서울특별시 용산구 동자동,461214404.24825764
257,서울특별시 용산구 문배동,492221248.13593024
258,서울특별시 용산구 보광동,404613285.81492686
259,서울특별시 용산구 산천동,361185684.69595116
260,서울특별시 용산구 서계동,162214373.21698272
261,서울특별시 용산구 서빙고동,963450820.5590624
262,서울특별시 용산구 신계동,658846485.8348402
263,서울특별시 용산구 신창동,272140545.7156534
264,서울특별시 용산구 용문동,232219054.42419907
265,서울특별시 용산구 용산동2가,172290324.6339911
266,서울특별시 용산구 용산동3가,150083333.33333334
267,서울특별시 용산구 용산동5가,1198351091.4760914
268,서울특별시 용산구 원효로1가,453563810.2084831
269,서울특별시 용산구 원효로2가,186627196.485623
270,서울특별시 용산구 원효로3가,184675994.73857284
271,서울특별시 용산구 원효로4가,454381089.38261485
272,서울특별시 용산구 이촌동,739728762.5268433
273,서울특별시 용산구 이태원동,453987547.37412024
274,서울특별시 용산구 주성동,534232507.2886297
275,서울특별시 용산구 청암동,1178972081.218274
276,서울특별시 용산구 청파동1가,177620765.203383
277,서울특별시 용산구 청파동2가,172940812.95935205
278,서울특별시 용산구 청파동3가,181345771.43988907
279,서울특별시 용산구 한강로1가,660005810.258738
280,서울특별시 용산구 한강로2가,636850203.3271719
281,서울특별시 용산구 한강로3가,803829659.8897967
282,서울특별시 용산구 한남동,698924512.43723
283,서울특별시 용산구 효창동,281351346.2965712
284,서울특별시 용산구 후암동,233112934.28628156
285,서울특별시 은평구 갈현동,130814034.1709816
286,서울특별시 은평구 구산동,142589597.84591332
287,서울특별시 은평구 구파발동,56500000.0
288,서울특별시 은평구 녹번동,166959078.58857343
289,서울특별시 은평구 대조동,115575529.61264321
290,서울특별시 은평구 불광동,181489561.9035184
291,서울특별시 은평구 수색동,221465261.8761465
292,서울특별시 은평구 신사동,141176807.78085795
293,서울특별시 은평구 역촌동,126828699.90561391
294,서울특별시 은평구 응암동,163232895.62701225
295,서울특별시 은평구 증산동,195937628.62825355
296,서울특별시 은평구 진관동,359594743.8232291
297,서울특별시 은평구 진관외동,63572580.64516129
298,서울특별시 종로구 가회동,643938586.5724381
299,서울특별시 종로구 견지동,674246438.7464387
300,서울특별시 종로구 경운동,106786458.33333331
301,서울특별시 종로구 계동,164789117.6470588
302,서울특별시 종로구 관수동,151083333.33333334
303,서울특별시 종로구 관철동,101871428.57142857
304,서울특별시 종로구 교북동,398521052.63157886
305,서울특별시 종로구 구기동,325373770.64971346
306,서울특별시 종로구 낙원동,138618411.00076395
307,서울특별시 종로구 내수동,768038670.5685619
308,서울특별시 종로구 내자동,88500000.0
309,서울특별시 종로구 누상동,130433914.58464351
310,서울특별시 종로구 누하동,158283679.52522254
311,서울특별시 종로구 당주동,275375000.0
312,서울특별시 종로구 동숭동,119155398.07981192
313,서울특별시 종로구 명륜1가,153376588.67506576
314,서울특별시 종로구 명륜2가,311384805.8045241
315,서울특별시 종로구 명륜3가,75253852.2777532
316,서울특별시 종로구 명륜4가,123623917.42195368
317,서울특별시 종로구 무악동,451615461.33831483
318,서울특별시 종로구 부암동,218162385.3211009
319,서울특별시 종로구 사직동,566164080.0460696
320,서울특별시 종로구 삼청동,326158080.8080808
321,서울특별시 종로구 소격동,272033333.3333333
322,서울특별시 종로구 송월동,92779891.30434784
323,서울특별시 종로구 수송동,229821185.617104
324,서울특별시 종로구 숭인동,197916579.33073863
325,서울특별시 종로구 신교동,127167375.1328374
326,서울특별시 종로구 신문로1가,272414062.5
327,서울특별시 종로구 신문로2가,507334814.81481487
328,서울특별시 종로구 신영동,165634014.72916237
329,서울특별시 종로구 안국동,166942307.69230768
330,서울특별시 종로구 연건동,77768158.36579973
331,서울특별시 종로구 연지동,119271911.88040912
332,서울특별시 종로구 옥인동,141829009.03660592
333,서울특별시 종로구 와룡동,114333333.33333331
334,서울특별시 종로구 운니동,84895000.0
335,서울특별시 종로구 원남동,72139655.1724138
336,서울특별시 종로구 원서동,105895162.67860216
337,서울특별시 종로구 이화동,110058992.18071242
338,서울특별시 종로구 익선동,167694542.25352108
339,서울특별시 종로구 인의동,424074653.5538668
340,서울특별시 종로구 장사동,50666666.66666666
341,서울특별시 종로구 종로5가,123200000.0
342,서울특별시 종로구 종로6가,99875000.0
343,서울특별시 종로구 창성동,275671944.12107104
344,서울특별시 종로구 창신동,194905145.89475825
345,서울특별시 종로구 청운동,433441864.69108194
346,서울특별시 종로구 체부동,201313275.19379845
347,서울특별시 종로구 충신동,107251759.25925924
348,서울특별시 종로구 통의동,196754325.2595156
349,서울특별시 종로구 통인동,142455201.2148823
350,서울특별시 종로구 평동,895506063.4328357
351,서울특별시 종로구 평창동,320439405.0560256
352,서울특별시 종로구 필운동,265944204.4953724
353,서울특별시 종로구 행촌동,112791360.88709678
354,서울특별시 종로구 혜화동,160028114.31696978
355,서울특별시 종로구 홍지동,128323440.17616834
356,서울특별시 종로구 홍파동,847092987.5518672
357,서울특별시 종로구 화동,382267857.14285713
358,서울특별시 종로구 효자동,353558079.40904886
359,서울특별시 종로구 효제동,136136125.65445027
360,서울특별시 중구 광희동1가,75092857.14285715
361,서울특별시 중구 광희동2가,97642457.23172627
362,서울특별시 중구 남대문로5가,893004901.9607842
363,서울특별시 중구 남산동2가,242512367.49116609
364,서울특별시 중구 남창동,128905972.85067873
365,서울특별시 중구 만리동1가,351030203.88809866
366,서울특별시 중구 만리동2가,219943382.66384777
367,서울특별시 중구 무학동,180467032.96703297
368,서울특별시 중구 묵정동,147377515.84283903
369,서울특별시 중구 산림동,226645799.5458969
370,서울특별시 중구 순화동,445456725.7559958
371,서울특별시 중구 신당동,311583158.0975569
372,서울특별시 중구 쌍림동,126954545.45454544
373,서울특별시 중구 예장동,192278603.85925084
374,서울특별시 중구 오장동,137658659.92414665
375,서울특별시 중구 을지로5가,308563953.48837215
376,서울특별시 중구 을지로6가,171933333.33333334
377,서울특별시 중구 인현동2가,114941422.59414226
378,서울특별시 중구 장충동1가,364922171.2268314
379,서울특별시 중구 장충동2가,79707818.18942787
380,서울특별시 중구 정동,195317204.30107528
381,서울특별시 중구 주교동,61349171.27071823
382,서울특별시 중구 중림동,295768478.3402732
383,서울특별시 중구 충무로4가,401496234.8436503
384,서울특별시 중구 충무로5가,184944644.14090583
385,서울특별시 중구 필동1가,70907801.41843972
386,서울특별시 중구 필동2가,188469115.4422789
387,서울특별시 중구 필동3가,162631670.67307693
388,서울특별시 중구 황학동,360224424.79473066
389,서울특별시 중구 회현동1가,408031461.15121007
390,서울특별시 중구 회현동2가,896108897.6945244
391,서울특별시 중구 흥인동,362892048.1174817
392,서울특별시 중랑구 망우동,165954756.9912399
393,서울특별시 중랑구 면목동,164673538.34272918
394,서울특별시 중랑구 묵동,213999145.3135253
395,서울특별시 중랑구 상봉동,199708709.3190065
396,서울특별시 중랑구 신내동,201680172.34054604
397,서울특별시 중랑구 중화동,154596637.58482206
398,경기도 가평군 가평읍 경반리,58163805.97014926
399,경기도 가평군 가평읍 금대리,66981402.43902439
400,경기도 가평군 가평읍 달전리,54711404.11751099
401,경기도 가평군 가평읍 대곡리,95200742.59491032
402,경기도 가평군 가평읍 복장리,79358552.63157895
403,경기도 가평군 가평읍 승안리,139900000.0
404,경기도 가평군 가평읍 읍내리,59591366.76554542
405,경기도 가평군 가평읍 하색리,44108125.0
406,경기도 가평군 북면 도대리,31000000.0
407,경기도 가평군 북면 목동리,56383680.55555555
408,경기도 가평군 북면 화악리,41583333.333333336
409,경기도 가평군 상면 덕현리,96249166.66666669
410,경기도 가평군 상면 상동리,24952427.18446602
411,경기도 가평군 상면 연하리,29214285.714285716
412,경기도 가평군 상면 임초리,19617187.5
413,경기도 가평군 상면 항사리,32040740.740740746
414,경기도 가평군 상면 행현리,33598470.94801223
415,경기도 가평군 설악면 미사리,117881818.1818182
416,경기도 가평군 설악면 사룡리,132324615.3846154
417,경기도 가평군 설악면 선촌리,126352815.95709018
418,경기도 가평군 설악면 송산리,61188322.36842106
419,경기도 가평군 설악면 신천리,58464109.5890411
420,경기도 가평군 설악면 회곡리,282815236.05150217
421,경기도 가평군 조종면 대보리,119385087.71929824
422,경기도 가평군 조종면 마일리,99200000.0
423,경기도 가평군 조종면 신상리,107720833.33333331
424,경기도 가평군 조종면 현리,56533509.05340362
425,경기도 가평군 청평면 고성리,336444444.44444436
426,경기도 가평군 청평면 대성리,78681468.21844226
427,경기도 가평군 청평면 상천리,48505035.08047874
428,경기도 가평군 청평면 청평리,88986305.1735429
429,경기도 가평군 청평면 하천리,170571428.57142857
430,경기도 가평군 청평면 호명리,68756250.0
431,경기도 가평군 하면 대보리,112691729.32330827
432,경기도 가평군 하면 마일리,97333333.33333331
433,경기도 가평군 하면 신상리,101250000.0
434,경기도 가평군 하면 현리,35044105.17387617
435,경기도 고양시 덕양구 강매동,189847222.22222218
436,경기도 고양시 덕양구 고양동,117002857.06734326
437,경기도 고양시 덕양구 관산동,88273110.00124343
438,경기도 고양시 덕양구 내곡동,156111904.76190478
439,경기도 고양시 덕양구 내유동,84866259.45537065
440,경기도 고양시 덕양구 대자동,119307730.49645391
441,경기도 고양시 덕양구 대장동,135770786.51685393
442,경기도 고양시 덕양구 덕은동,158450249.32003626
443,경기도 고양시 덕양구 도내동,293894934.4266344
444,경기도 고양시 덕양구 동산동,335103448.46371764
445,경기도 고양시 덕양구 벽제동,107199818.14173922
446,경기도 고양시 덕양구 삼송동,301341708.35201985
447,경기도 고양시 덕양구 성사동,169243932.45147794
448,경기도 고양시 덕양구 신원동,236949314.3373296
449,경기도 고양시 덕양구 오금동,417700000.0
450,경기도 고양시 덕양구 용두동,175266932.27091634
451,경기도 고양시 덕양구 원당동,209135802.46913582
452,경기도 고양시 덕양구 원흥동,198848975.3269516
453,경기도 고양시 덕양구 주교동,93988607.35511148
454,경기도 고양시 덕양구 지축동,475246835.7959297
455,경기도 고양시 덕양구 토당동,153253286.44792768
456,경기도 고양시 덕양구 행신동,177753046.3251583
457,경기도 고양시 덕양구 행주내동,212649305.55555555
458,경기도 고양시 덕양구 행주외동,123892592.5925926
459,경기도 고양시 덕양구 향동동,369956208.2611922
460,경기도 고양시 덕양구 현천동,166403725.11239564
461,경기도 고양시 덕양구 화전동,131452868.21705426
462,경기도 고양시 덕양구 화정동,211944056.9405431
463,경기도 고양시 덕양구 효자동,90377142.85714284
464,경기도 고양시 일산동구 마두동,320291720.13274336
465,경기도 고양시 일산동구 문봉동,103715530.44112286
466,경기도 고양시 일산동구 백석동,191598464.96573767
467,경기도 고양시 일산동구 사리현동,109373501.50428142
468,경기도 고양시 일산동구 설문동,100557946.21026894
469,경기도 고양시 일산동구 성석동,114282814.0647602
470,경기도 고양시 일산동구 식사동,369406614.8221877
471,경기도 고양시 일산동구 장항동,330573987.06370515
472,경기도 고양시 일산동구 정발산동,241832373.414367
473,경기도 고양시 일산동구 중산동,172901362.07154617
474,경기도 고양시 일산동구 풍동,215090713.66952068
475,경기도 고양시 일산서구 가좌동,230562124.12688985
476,경기도 고양시 일산서구 구산동,65190625.0
477,경기도 고양시 일산서구 대화동,246281235.5717437
478,경기도 고양시 일산서구 덕이동,262620674.49569467
479,경기도 고양시 일산서구 일산동,205954511.23471197
480,경기도 고양시 일산서구 주엽동,243462044.62278143
481,경기도 고양시 일산서구 탄현동,199828305.98624092
482,경기도 과천시 갈현동,575510186.0053145
483,경기도 과천시 과천동,344830961.7271835
484,경기도 과천시 문원동,239286309.30822167
485,경기도 과천시 별양동,546479809.9108096
486,경기도 과천시 부림동,486064700.0226399
487,경기도 과천시 원문동,548123349.0523425
488,경기도 과천시 주암동,262762758.0396012
489,경기도 과천시 중앙동,717892714.6756246
490,경기도 광명시 광명동,132925249.355782
491,경기도 광명시 소하동,203876024.61429748
492,경기도 광명시 일직동,642367350.37932
493,경기도 광명시 철산동,271093788.2715617
494,경기도 광명시 하안동,194716284.8510345
495,경기도 광주시 경안동,106330161.95895666
496,경기도 광주시 곤지암읍 곤지암리,123277157.03390609
497,경기도 광주시 곤지암읍 만선리,58300561.79775281
498,경기도 광주시 곤지암읍 삼리,113718035.10758775
499,경기도 광주시 곤지암읍 수양리,58681842.81842818
500,경기도 광주시 곤지암읍 신대리,56338674.03314917
501,경기도 광주시 곤지암읍 신촌리,57575862.06896552
502,경기도 광주시 곤지암읍 연곡리,59465714.28571428
503,경기도 광주시 곤지암읍 열미리,66276919.19191919
504,경기도 광주시 곤지암읍 오향리,155140000.0
505,경기도 광주시 곤지암읍 이선리,73362500.0
506,경기도 광주시 곤지암읍 장심리,202000000.0
507,경기도 광주시 남종면 분원리,114928193.32566167
508,경기도 광주시 남한산성면 검복리,113691666.66666669
509,경기도 광주시 남한산성면 불당리,160662318.84057972
510,경기도 광주시 도척면 궁평리,63677228.91566266
511,경기도 광주시 도척면 노곡리,64001315.26504584
512,경기도 광주시 도척면 도웅리,87473958.33333333
513,경기도 광주시 도척면 방도리,69305555.55555555
514,경기도 광주시 도척면 상림리,96187500.0
