,address,공시가격,좌표,초등학교,중학교,고등학교,유치원,학원,병원,약국,보건소,헬스장,체육관,수영장,영화관,카페,공원,놀이터,도서관,백화점,대형마트,복합쇼핑센터,시장,사회복지관,경로당,어린이집
90,경기도 고양시 덕양구 행주내동,212649305.6,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
91,경기도 고양시 덕양구 행주외동,123892592.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
92,경기도 고양시 덕양구 향동동,369956208.3,,2.0,1.0,1,3.0,46.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
93,경기도 고양시 덕양구 현천동,166403725.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
94,경기도 고양시 덕양구 화전동,131452868.2,,1.0,1.0,0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
95,경기도 고양시 덕양구 화정동,211944056.9,,6.0,4.0,2,9.0,338.0,123.0,43.0,0.0,10.0,0.0,2.0,2.0,100.0,12.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,20.0,9.0
96,경기도 고양시 덕양구 효자동,90377142.86,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
97,경기도 고양시 마두동,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,경기도 고양시 삼송동,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,경기도 고양시 일산동,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,경기도 고양시 일산동구 마두동,320291720.1,,4.0,3.0,2,7.0,386.0,76.0,27.0,0.0,3.0,0.0,2.0,0.0,96.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,22.0,7.0
101,경기도 고양시 일산동구 문봉동,103715530.4,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
102,경기도 고양시 일산동구 백석동,191598465.0,,3.0,1.0,2,7.0,71.0,48.0,28.0,0.0,3.0,1.0,0.0,3.0,133.0,4.0,7.0,1.0,0.0,2.0,2.0,0.0,0.0,25.0,7.0
103,경기도 고양시 일산동구 사리현동,109373501.5,,1.0,0.0,0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
104,경기도 고양시 일산동구 산황동,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
105,경기도 고양시 일산동구 설문동,100557946.2,,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
106,경기도 고양시 일산동구 성석동,114282814.1,,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
107,경기도 고양시 일산동구 식사동,369406614.8,,3.0,1.0,2,5.0,105.0,22.0,13.0,0.0,1.0,0.0,2.0,0.0,84.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0
108,경기도 고양시 일산동구 장항동,330573987.1,,2.0,0.0,0,2.0,113.0,108.0,33.0,0.0,12.0,0.0,1.0,5.0,200.0,5.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,10.0,2.0
109,경기도 고양시 일산동구 정발산동,241832373.4,,2.0,1.0,1,4.0,75.0,20.0,6.0,0.0,4.0,0.0,0.0,0.0,123.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0
110,경기도 고양시 일산동구 중산동,172901362.1,,5.0,2.0,2,7.0,122.0,30.0,14.0,0.0,4.0,0.0,1.0,0.0,72.0,8.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,7.0
111,경기도 고양시 일산동구 지영동,0.0,,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112,경기도 고양시 일산동구 풍동,215090713.7,,3.0,1.0,2,5.0,113.0,33.0,9.0,0.0,2.0,0.0,0.0,0.0,63.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0
113,경기도 고양시 일산서구 가좌동,230562124.1,,2.0,1.0,1,3.0,41.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0
114,경기도 고양시 일산서구 구산동,65190625.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
115,경기도 고양시 일산서구 대화동,246281235.6,,5.0,3.0,3,7.0,123.0,68.0,38.0,0.0,5.0,0.0,0.0,2.0,226.0,14.0,8.0,2.0,1.0,1.0,2.0,0.0,0.0,31.0,7.0
116,경기도 고양시 일산서구 덕이동,262620674.5,,3.0,1.0,3,5.0,55.0,13.0,6.0,0.0,1.0,0.0,1.0,4.0,43.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,5.0
