,addr,초등학교,중학교,고등학교
73,서울특별시 동작구 대방동,3개,4개,4개
74,서울특별시 동작구 본동,2개,0개,0개
75,서울특별시 동작구 사당동,6개,3개,1개
76,서울특별시 동작구 상도1동,1개,0개,0개
77,서울특별시 동작구 상도동,3개,4개,0개
78,서울특별시 동작구 신대방동,2개,2개,1개
79,서울특별시 동작구 흑석동,3개,2개,0개
80,서울특별시 마포구 공덕동,1개,0개,0개
81,서울특별시 마포구 노고산동,1개,1개,0개
82,서울특별시 마포구 대흥동,1개,1개,1개
83,서울특별시 마포구 도화동,1개,0개,0개
84,서울특별시 마포구 망원동,2개,0개,0개
85,서울특별시 마포구 상수동,1개,0개,0개
86,서울특별시 마포구 상암동,3개,1개,1개
87,서울특별시 마포구 서교동,1개,0개,0개
88,서울특별시 마포구 성산동,4개,3개,1개
89,서울특별시 마포구 신수동,1개,2개,1개
90,서울특별시 마포구 아현동,2개,1개,2개
91,서울특별시 마포구 염리동,2개,2개,2개
92,서울특별시 마포구 중동,1개,1개,0개
93,서울특별시 마포구 합정동,1개,1개,0개
94,서울특별시 서대문구 남가좌동,2개,1개,0개
95,서울특별시 서대문구 대신동,1개,1개,1개
96,서울특별시 서대문구 대현동,1개,0개,0개
97,서울특별시 서대문구 미근동,1개,0개,0개
98,서울특별시 서대문구 북가좌동,1개,1개,1개
99,서울특별시 서대문구 북아현동,2개,2개,2개
100,서울특별시 서대문구 연희동,1개,3개,0개
101,서울특별시 서대문구 창천동,1개,0개,0개
102,서울특별시 서대문구 천연동,1개,1개,0개
103,서울특별시 서대문구 충정로2가,1개,1개,1개
104,서울특별시 서대문구 홍은동,3개,3개,1개
105,서울특별시 서대문구 홍제동,4개,1개,0개
106,서울특별시 서초구 내곡동,1개,0개,0개
107,서울특별시 서초구 반포동,5개,5개,3개
108,서울특별시 서초구 방배동,5개,3개,4개
109,서울특별시 서초구 서초동,6개,3개,3개
110,서울특별시 서초구 양재동,2개,1개,1개
111,서울특별시 서초구 우면동,3개,1개,0개
112,서울특별시 서초구 잠원동,2개,2개,0개
113,서울특별시 성동구 금호동1가,1개,0개,1개
114,서울특별시 성동구 금호동2가,1개,0개,0개
115,서울특별시 성동구 금호동4가,2개,0개,0개
116,서울특별시 성동구 마장동,2개,2개,0개
117,서울특별시 성동구 사근동,2개,1개,1개
118,서울특별시 성동구 성수동1가,2개,2개,2개
119,서울특별시 성동구 성수동2가,2개,2개,1개
120,서울특별시 성동구 송정동,1개,0개,0개
121,서울특별시 성동구 옥수동,2개,1개,1개
122,서울특별시 성동구 용답동,1개,0개,0개
123,서울특별시 성동구 응봉동,1개,1개,0개
124,서울특별시 성동구 하왕십리동,2개,0개,1개
125,서울특별시 성동구 행당동,2개,2개,2개
126,서울특별시 성북구 길음동,3개,1개,1개
127,서울특별시 성북구 돈암동,4개,3개,1개
128,서울특별시 성북구 동소문동6가,1개,0개,0개
129,서울특별시 성북구 동소문동7가,1개,0개,0개
130,서울특별시 성북구 보문동3가,1개,0개,0개
131,서울특별시 성북구 보문동7가,1개,0개,0개
132,서울특별시 성북구 삼선동3가,1개,0개,1개
133,서울특별시 성북구 석관동,2개,1개,1개
134,서울특별시 성북구 성북동,1개,2개,2개
135,서울특별시 성북구 안암동2가,1개,1개,1개
136,서울특별시 성북구 장위동,5개,2개,0개
137,서울특별시 성북구 정릉동,4개,2개,2개
138,서울특별시 성북구 종암동,2개,2개,1개
139,서울특별시 성북구 하월곡동,2개,1개,1개
140,서울특별시 송파구 가락동,6개,4개,0개
141,서울특별시 송파구 거여동,2개,1개,1개
142,서울특별시 송파구 마천동,2개,0개,0개
143,서울특별시 송파구 문정동,3개,1개,1개
144,서울특별시 송파구 방이동,4개,5개,4개
145,서울특별시 송파구 삼전동,1개,1개,1개
146,서울특별시 송파구 석촌동,1개,0개,0개
147,서울특별시 송파구 송파동,2개,2개,3개
148,서울특별시 송파구 신천동,3개,1개,1개
149,서울특별시 송파구 오금동,3개,4개,2개
150,서울특별시 송파구 잠실동,7개,4개,4개
151,서울특별시 송파구 장지동,3개,2개,1개
152,서울특별시 송파구 풍납동,3개,3개,1개
153,서울특별시 양천구 목동,8개,6개,4개
154,서울특별시 양천구 신월동,8개,8개,3개
155,서울특별시 양천구 신정동,14개,5개,8개
156,서울특별시 영등포구 당산동,1개,1개,0개
157,서울특별시 영등포구 당산동5가,1개,1개,0개
158,서울특별시 영등포구 대림동,5개,2개,0개
159,서울특별시 영등포구 문래동1가,1개,0개,0개
160,서울특별시 영등포구 문래동3가,1개,1개,0개
161,서울특별시 영등포구 문래동6가,1개,1개,0개
162,서울특별시 영등포구 신길동,6개,2개,4개
163,서울특별시 영등포구 양평동3가,2개,1개,0개
164,서울특별시 영등포구 양평동4가,1개,0개,2개
165,서울특별시 영등포구 여의도동,2개,2개,2개
166,서울특별시 영등포구 영등포동,1개,1개,0개
167,서울특별시 영등포구 영등포동7가,1개,0개,0개
168,서울특별시 용산구 산천동,1개,0개,0개
169,서울특별시 용산구 서빙고동,1개,1개,0개
170,서울특별시 용산구 용산동2가,1개,2개,2개
171,서울특별시 용산구 원효로2가,1개,0개,0개
172,서울특별시 용산구 이촌동,1개,1개,1개
173,서울특별시 용산구 이태원동,2개,0개,1개
174,서울특별시 용산구 청파동2가,1개,0개,0개
175,서울특별시 용산구 청파동3가,1개,2개,2개
176,서울특별시 용산구 한강로2가,1개,0개,0개
177,서울특별시 용산구 한강로3가,1개,0개,1개
178,서울특별시 용산구 한남동,1개,0개,0개
179,서울특별시 용산구 효창동,1개,0개,0개
180,서울특별시 용산구 후암동,2개,0개,0개
181,서울특별시 은평구 갈현동,2개,3개,5개
182,서울특별시 은평구 구산동,3개,3개,3개
183,서울특별시 은평구 녹번동,3개,0개,0개
184,서울특별시 은평구 대조동,2개,0개,2개
185,서울특별시 은평구 불광동,6개,3개,1개
186,서울특별시 은평구 수색동,1개,0개,0개
187,서울특별시 은평구 신사동,3개,3개,1개
188,서울특별시 은평구 역촌동,1개,0개,0개
189,서울특별시 은평구 응암동,4개,2개,2개
190,서울특별시 은평구 증산동,1개,2개,0개
191,서울특별시 은평구 진관동,5개,2개,4개
192,서울특별시 종로구 가회동,1개,0개,0개
193,서울특별시 종로구 경운동,1개,0개,0개
194,서울특별시 종로구 동숭동,1개,1개,0개
195,서울특별시 종로구 무악동,1개,0개,0개
196,서울특별시 종로구 신영동,1개,0개,0개
197,서울특별시 종로구 운니동,1개,0개,0개
198,서울특별시 종로구 창신동,2개,0개,1개
199,서울특별시 종로구 청운동,1개,1개,2개
200,서울특별시 종로구 필운동,1개,0개,0개
201,서울특별시 종로구 혜화동,1개,2개,3개
202,서울특별시 종로구 홍지동,1개,1개,1개
203,서울특별시 종로구 효제동,1개,0개,0개
204,서울특별시 중구 남산동2가,1개,0개,0개
205,서울특별시 중구 만리동2가,1개,1개,0개
206,서울특별시 중구 신당동,6개,5개,5개
207,서울특별시 중구 예장동,2개,0개,1개
208,서울특별시 중구 장충동2가,1개,0개,0개
209,서울특별시 중구 정동,1개,1개,1개
210,서울특별시 중랑구 망우동,4개,5개,5개
211,서울특별시 중랑구 면목동,7개,3개,1개
212,서울특별시 중랑구 묵동,3개,2개,2개
213,서울특별시 중랑구 상봉동,1개,2개,1개
214,서울특별시 중랑구 신내동,6개,0개,0개
215,서울특별시 중랑구 중화동,2개,2개,1개
216,경기도 가평군 가평읍 마장리,1개,0개,0개
217,경기도 가평군 가평읍 상색리,1개,0개,0개
218,경기도 가평군 가평읍 읍내리,1개,0개,0개
219,경기도 가평군 북면 이곡리,1개,1개,0개
220,경기도 가평군 북면 적목리,1개,0개,0개
221,경기도 가평군 상면 연하리,1개,0개,0개
222,경기도 가평군 상면 율길리,1개,0개,0개
223,경기도 가평군 상면 임초리,1개,0개,0개
224,경기도 가평군 설악면 미사리,1개,0개,0개
225,경기도 가평군 설악면 방일리,1개,0개,0개
226,경기도 가평군 설악면 신천리,1개,1개,1개
227,경기도 가평군 설악면 위곡리,1개,0개,0개
228,경기도 가평군 조종면 현리,1개,1개,1개
229,경기도 가평군 청평면 대성리,1개,0개,0개
230,경기도 가평군 청평면 상천리,1개,0개,0개
231,경기도 가평군 청평면 청평리,1개,1개,1개
232,경기도 고양시 덕양구 고양동,2개,1개,1개
233,경기도 고양시 덕양구 관산동,1개,1개,1개
234,경기도 고양시 덕양구 내유동,1개,0개,0개
235,경기도 고양시 덕양구 대장동,1개,0개,0개
236,경기도 고양시 덕양구 도내동,2개,1개,1개
237,경기도 고양시 덕양구 동산동,2개,0개,1개
238,경기도 고양시 덕양구 성사동,2개,1개,1개
239,경기도 고양시 덕양구 신원동,1개,1개,1개
240,경기도 고양시 덕양구 오금동,1개,0개,0개
241,경기도 고양시 덕양구 용두동,1개,0개,0개
242,경기도 고양시 덕양구 원흥동,2개,0개,0개
243,경기도 고양시 덕양구 주교동,1개,1개,0개
244,경기도 고양시 덕양구 지축동,1개,1개,0개
245,경기도 고양시 덕양구 토당동,2개,1개,1개
246,경기도 고양시 덕양구 행신동,10개,5개,4개
247,경기도 고양시 덕양구 행주내동,1개,0개,0개
248,경기도 고양시 덕양구 향동동,2개,1개,1개
249,경기도 고양시 덕양구 화전동,1개,1개,0개
250,경기도 고양시 덕양구 화정동,6개,4개,2개
251,경기도 고양시 일산동구 마두동,4개,3개,2개
252,경기도 고양시 일산동구 문봉동,1개,0개,0개
253,경기도 고양시 일산동구 백석동,3개,1개,2개
254,경기도 고양시 일산동구 사리현동,1개,0개,0개
255,경기도 고양시 일산동구 식사동,3개,1개,2개
256,경기도 고양시 일산동구 장항동,2개,0개,0개
257,경기도 고양시 일산동구 정발산동,2개,1개,1개
258,경기도 고양시 일산동구 중산동,5개,2개,2개
259,경기도 고양시 일산동구 풍동,3개,1개,2개
260,경기도 고양시 일산서구 가좌동,2개,1개,1개
261,경기도 고양시 일산서구 대화동,5개,3개,3개
262,경기도 고양시 일산서구 덕이동,3개,1개,3개
263,경기도 고양시 일산서구 일산동,4개,3개,2개
264,경기도 고양시 일산서구 주엽동,6개,3개,2개
265,경기도 고양시 일산서구 탄현동,4개,2개,1개
266,경기도 과천시 별양동,2개,1개,1개
267,경기도 과천시 부림동 ,1개,0개,0개
268,경기도 과천시 중앙동 ,1개,0개,0개
269,경기도 광명시 가학동 ,1개,0개,0개
270,경기도 광명시 광명동 ,5개,0개,0개
271,경기도 광명시 노온사동 ,1개,0개,0개
272,경기도 광명시 소하동,1개,3개,5개
273,경기도 광명시 소하동 ,3개,0개,0개
274,경기도 광명시 일직동 ,1개,0개,0개
275,경기도 광명시 철산동,1개,3개,2개
276,경기도 광명시 철산동 ,4개,0개,0개
277,경기도 광명시 하안동 ,7개,0개,0개
278,경기도 광주시 경안동 ,2개,0개,0개
279,경기도 광주시 곤지암읍 곤지암리,1개,1개,1개
280,경기도 광주시 곤지암읍 만선리,1개,0개,0개
281,경기도 광주시 곤지암읍 삼리,1개,0개,0개
282,경기도 광주시 남종면 분원리,1개,0개,0개
283,경기도 광주시 남한산성면 광지원리,1개,0개,0개
284,경기도 광주시 남한산성면 산성리,1개,0개,0개
285,경기도 광주시 남한산성면 상번천리,1개,0개,0개
286,경기도 광주시 도척면 노곡리,1개,1개,0개
287,경기도 광주시 도척면 도웅리,1개,0개,0개
288,경기도 광주시 송정동,1개,1개,3개
289,경기도 광주시 쌍령동 ,2개,0개,0개
290,경기도 광주시 역동 ,1개,0개,0개
291,경기도 광주시 오포읍 신현리,2개,1개,0개
292,경기도 광주시 오포읍 양벌리,2개,1개,0개
293,경기도 광주시 오포읍 추자리,1개,0개,0개
294,경기도 광주시 중대동 ,1개,0개,0개
295,경기도 광주시 초월읍 도평리,1개,0개,0개
296,경기도 광주시 초월읍 선동리,1개,0개,0개
297,경기도 광주시 초월읍 신월리,1개,0개,0개
298,경기도 광주시 초월읍 쌍동리,1개,1개,0개
299,경기도 광주시 탄벌동,1개,1개,0개
300,경기도 광주시 탄벌동 ,1개,0개,0개
301,경기도 광주시 태전동,1개,1개,1개
302,경기도 광주시 태전동 ,2개,0개,0개
303,경기도 광주시 퇴촌면 도수리,1개,0개,0개
304,경기도 구리시 갈매동 ,1개,0개,0개
305,경기도 구리시 갈매동 산,1개,0개,0개
306,경기도 구리시 교문동,1개,2개,0개
307,경기도 구리시 교문동 ,3개,0개,0개
308,경기도 구리시 사노동 ,1개,0개,0개
309,경기도 구리시 수택동 ,2개,0개,0개
310,경기도 구리시 인창동,2개,2개,1개
311,경기도 구리시 인창동 ,3개,0개,0개
312,경기도 구리시 토평동,1개,2개,2개
313,경기도 구리시 토평동 ,1개,0개,0개
314,경기도 군포시 금정동,1개,2개,2개
315,경기도 군포시 금정동 ,3개,0개,0개
316,경기도 군포시 당동,1개,3개,1개
317,경기도 군포시 당동 ,3개,0개,0개
318,경기도 군포시 당정동 ,1개,0개,0개
319,경기도 군포시 대야미동 ,1개,0개,0개
320,경기도 군포시 도마교동,1개,0개,0개
321,경기도 군포시 둔대동 ,1개,0개,0개
322,경기도 군포시 부곡동 ,2개,0개,0개
323,경기도 군포시 산본동 ,13개,0개,0개
324,경기도 김포시 감정동 ,1개,0개,0개
325,경기도 김포시 걸포동,1개,0개,0개
326,경기도 김포시 걸포동 ,1개,0개,0개
327,경기도 김포시 고촌읍 신곡리,3개,2개,0개
328,경기도 김포시 고촌읍 풍곡리,1개,0개,0개
329,경기도 김포시 고촌읍 향산리,1개,1개,0개
330,경기도 김포시 구래동,2개,1개,0개
331,경기도 김포시 구래동 ,2개,0개,0개
332,경기도 김포시 대곶면 대명리,1개,0개,0개
333,경기도 김포시 대곶면 대벽리,1개,0개,0개
334,경기도 김포시 대곶면 석정리,1개,0개,0개
335,경기도 김포시 대곶면 율생리,1개,1개,0개
336,경기도 김포시 마산동,1개,1개,1개
337,경기도 김포시 마산동 ,1개,0개,0개
338,경기도 김포시 북변동,2개,2개,1개
339,경기도 김포시 북변동 ,1개,0개,0개
340,경기도 김포시 사우동 ,1개,0개,0개
341,경기도 김포시 양촌읍 양곡리,2개,2개,1개
342,경기도 김포시 양촌읍 학운리,1개,0개,0개
343,경기도 김포시 운양동,2개,1개,2개
344,경기도 김포시 운양동 ,1개,0개,0개
345,경기도 김포시 월곶면 개곡리,1개,0개,0개
346,경기도 김포시 월곶면 군하리,1개,1개,0개
347,경기도 김포시 장기동,3개,4개,1개
348,경기도 김포시 장기동 ,3개,0개,0개
349,경기도 김포시 통진읍 마송리,2개,2개,2개
350,경기도 김포시 통진읍 서암리,2개,0개,0개
351,경기도 김포시 통진읍 옹정리,1개,0개,0개
352,경기도 김포시 풍무동,3개,2개,1개
353,경기도 김포시 풍무동 ,1개,0개,0개
354,경기도 김포시 하성면 마곡리,1개,1개,1개
355,경기도 김포시 하성면 마조리,1개,0개,0개
356,경기도 남양주시 금곡동 ,2개,0개,0개
357,경기도 남양주시 다산동,6개,6개,4개
358,경기도 남양주시 다산동 ,4개,0개,0개
359,경기도 남양주시 별내동,1개,2개,2개
360,경기도 남양주시 별내동 ,4개,0개,0개
361,경기도 남양주시 별내면 청학리,1개,1개,1개
362,경기도 남양주시 수동면 송천리,1개,0개,0개
363,경기도 남양주시 수동면 수산리,1개,0개,0개
364,경기도 남양주시 수동면 입석리,1개,1개,0개
365,경기도 남양주시 오남읍 양지리,2개,2개,1개
366,경기도 남양주시 오남읍 오남리,2개,1개,0개
367,경기도 남양주시 와부읍 덕소리,3개,2개,1개
368,경기도 남양주시 와부읍 도곡리,2개,1개,1개
369,경기도 남양주시 와부읍 월문리,1개,0개,0개
370,경기도 남양주시 조안면 송촌리,1개,1개,0개
371,경기도 남양주시 조안면 조안리,1개,0개,0개
372,경기도 남양주시 지금동,1개,0개,0개
373,경기도 남양주시 진건읍 사능리,1개,1개,0개
374,경기도 남양주시 진건읍 신월리,1개,0개,0개
375,경기도 남양주시 진건읍 용정리,1개,0개,0개
376,경기도 남양주시 진접읍 금곡리,4개,2개,1개
377,경기도 남양주시 진접읍 내각리,1개,0개,0개
378,경기도 남양주시 진접읍 부평리,1개,0개,0개
379,경기도 남양주시 진접읍 장현리,2개,2개,1개
380,경기도 남양주시 진접읍 팔야리,1개,0개,0개
381,경기도 남양주시 퇴계원면 퇴계원리,1개,0개,0개
382,경기도 남양주시 퇴계원읍 퇴계원리,1개,1개,1개
383,경기도 남양주시 평내동 ,4개,0개,0개
384,경기도 남양주시 호평동 ,5개,0개,0개
385,경기도 남양주시 화도읍 가곡리,1개,0개,0개
386,경기도 남양주시 화도읍 금남리,1개,0개,0개
387,경기도 남양주시 화도읍 녹촌리,1개,0개,1개
388,경기도 남양주시 화도읍 답내리,1개,0개,0개
389,경기도 남양주시 화도읍 마석우리,3개,2개,1개
390,경기도 남양주시 화도읍 묵현리,1개,1개,0개
391,경기도 남양주시 화도읍 월산리,1개,1개,1개
392,경기도 남양주시 화도읍 차산리,1개,0개,0개
393,경기도 남양주시 화도읍 창현리,2개,1개,0개
394,경기도 동두천시 동두천동 ,1개,0개,0개
395,경기도 동두천시 상봉암동 ,1개,0개,0개
396,경기도 동두천시 생연동,2개,4개,2개
397,경기도 동두천시 생연동 ,2개,0개,0개
398,경기도 동두천시 송내동 ,1개,0개,0개
399,경기도 동두천시 지행동 ,3개,0개,0개
400,경기도 동두천시 탑동동 ,1개,0개,0개
401,경기도 부천시 고강동,1개,1개,1개
402,경기도 부천시 고강동 ,2개,0개,0개
403,경기도 부천시 괴안동 ,3개,0개,0개
404,경기도 부천시 도당동 ,2개,0개,0개
405,경기도 부천시 범박동 ,1개,0개,0개
406,경기도 부천시 범박동 산,1개,0개,0개
407,경기도 부천시 삼정동,1개,0개,0개
408,경기도 부천시 상동,2개,5개,5개
409,경기도 부천시 상동 ,7개,0개,0개
410,경기도 부천시 소사본동,1개,2개,1개
411,경기도 부천시 소사본동 ,4개,0개,0개
412,경기도 부천시 송내동,1개,3개,3개
413,경기도 부천시 송내동 ,2개,0개,0개
414,경기도 부천시 심곡동,2개,0개,0개
415,경기도 부천시 심곡본동 ,2개,0개,0개
416,경기도 부천시 약대동,2개,0개,0개
417,경기도 부천시 여월동 ,2개,0개,0개
418,경기도 부천시 역곡동,1개,1개,1개
419,경기도 부천시 역곡동 ,2개,0개,0개
420,경기도 부천시 오정동,1개,1개,1개
421,경기도 부천시 오정동 ,2개,0개,0개
422,경기도 부천시 옥길동,1개,1개,0개
423,경기도 부천시 옥길동 ,1개,0개,0개
424,경기도 부천시 원미동 ,2개,0개,0개
425,경기도 부천시 원종동,1개,0개,1개
426,경기도 부천시 원종동 ,2개,0개,0개
427,경기도 부천시 작동 ,1개,0개,0개
428,경기도 부천시 중동,7개,8개,8개
429,경기도 부천시 중동 ,7개,0개,0개
430,경기도 성남시 분당구 구미동,4개,2개,1개
431,경기도 성남시 분당구 금곡동,1개,1개,1개
432,경기도 성남시 분당구 대장동,1개,1개,0개
433,경기도 성남시 분당구 백현동,2개,2개,2개
434,경기도 성남시 분당구 분당동,2개,1개,1개
435,경기도 성남시 분당구 삼평동,2개,1개,1개
436,경기도 성남시 분당구 서현동,4개,2개,2개
437,경기도 성남시 분당구 수내동,3개,3개,2개
438,경기도 성남시 분당구 야탑동,5개,2개,4개
439,경기도 성남시 분당구 운중동,2개,1개,1개
440,경기도 성남시 분당구 이매동,3개,3개,3개
441,경기도 성남시 분당구 정자동,7개,4개,4개
442,경기도 성남시 분당구 판교동,2개,2개,1개
443,경기도 성남시 수정구 고등동,1개,0개,0개
444,경기도 성남시 수정구 단대동,1개,2개,1개
445,경기도 성남시 수정구 복정동,1개,0개,1개
446,경기도 성남시 수정구 산성동,1개,1개,0개
447,경기도 성남시 수정구 수진동,2개,2개,1개
448,경기도 성남시 수정구 신흥동,2개,1개,0개
449,경기도 성남시 수정구 양지동,1개,0개,0개
450,경기도 성남시 수정구 창곡동,4개,2개,1개
451,경기도 성남시 수정구 태평동,5개,1개,0개
452,경기도 성남시 중원구 금광동,4개,4개,1개
453,경기도 성남시 중원구 도촌동,1개,1개,0개
454,경기도 성남시 중원구 상대원동,4개,0개,0개
455,경기도 성남시 중원구 성남동,1개,3개,5개
456,경기도 성남시 중원구 여수동,1개,0개,0개
457,경기도 성남시 중원구 은행동,3개,1개,0개
458,경기도 성남시 중원구 중앙동,1개,0개,0개
459,경기도 성남시 중원구 하대원동,2개,1개,1개
460,경기도 수원시 권선구 고색동,2개,1개,1개
461,경기도 수원시 권선구 곡반정동,1개,1개,0개
462,경기도 수원시 권선구 구운동,2개,1개,0개
463,경기도 수원시 권선구 권선동,9개,3개,3개
464,경기도 수원시 권선구 금곡동,5개,2개,1개
465,경기도 수원시 권선구 당수동,1개,0개,1개
466,경기도 수원시 권선구 서둔동,2개,1개,0개
467,경기도 수원시 권선구 세류동,3개,2개,0개
468,경기도 수원시 권선구 오목천동,2개,1개,1개
469,경기도 수원시 권선구 입북동,1개,0개,0개
470,경기도 수원시 권선구 탑동,2개,0개,1개
471,경기도 수원시 권선구 호매실동,3개,2개,1개
472,경기도 수원시 영통구 망포동,4개,2개,1개
473,경기도 수원시 영통구 매탄동,8개,6개,3개
474,경기도 수원시 영통구 영통동,8개,5개,4개
475,경기도 수원시 영통구 원천동,5개,3개,1개
476,경기도 수원시 영통구 이의동,3개,3개,2개
477,경기도 수원시 영통구 하동,1개,0개,1개
478,경기도 수원시 장안구 송죽동,2개,1개,1개
479,경기도 수원시 장안구 연무동,1개,1개,0개
480,경기도 수원시 장안구 율전동,2개,1개,0개
481,경기도 수원시 장안구 정자동,7개,2개,3개
482,경기도 수원시 장안구 조원동,5개,3개,2개
483,경기도 수원시 장안구 천천동,3개,2개,3개
484,경기도 수원시 장안구 파장동,2개,1개,0개
485,경기도 수원시 팔달구 고등동,1개,0개,1개
486,경기도 수원시 팔달구 남창동,1개,0개,0개
487,경기도 수원시 팔달구 매산로3가,1개,0개,0개
488,경기도 수원시 팔달구 매향동,1개,2개,3개
489,경기도 수원시 팔달구 우만동,3개,1개,2개
490,경기도 수원시 팔달구 인계동,2개,0개,1개
491,경기도 수원시 팔달구 지동,1개,0개,0개
492,경기도 수원시 팔달구 화서동,5개,5개,3개
493,경기도 시흥시 거모동 ,2개,0개,0개
494,경기도 시흥시 계수동 ,1개,0개,0개
495,경기도 시흥시 광석동 ,1개,0개,0개
496,경기도 시흥시 군자동,1개,0개,0개
497,경기도 시흥시 논곡동 ,1개,0개,0개
498,경기도 시흥시 능곡동 ,2개,0개,0개
499,경기도 시흥시 대야동 ,2개,0개,0개
500,경기도 시흥시 도창동,1개,0개,0개
501,경기도 시흥시 매화동 ,1개,0개,0개
502,경기도 시흥시 산현동,1개,0개,0개
503,경기도 시흥시 신천동 ,4개,0개,0개
504,경기도 시흥시 월곶동,1개,1개,0개
505,경기도 시흥시 월곶동 ,1개,0개,0개
506,경기도 시흥시 은행동,2개,2개,2개
507,경기도 시흥시 은행동 ,3개,0개,0개
508,경기도 시흥시 장곡동 ,2개,0개,0개
509,경기도 시흥시 장현동 ,2개,0개,0개
510,경기도 시흥시 정왕동,3개,8개,6개
511,경기도 시흥시 정왕동 ,12개,0개,0개
512,경기도 시흥시 조남동,2개,1개,1개
513,경기도 시흥시 죽율동 ,1개,0개,0개
514,경기도 시흥시 포동 ,1개,0개,0개
515,경기도 시흥시 하중동 ,1개,0개,0개
516,경기도 안산시 단원구 고잔동,7개,4개,4개
517,경기도 안산시 단원구 대부남동,1개,0개,0개
518,경기도 안산시 단원구 대부동동,1개,0개,0개
519,경기도 안산시 단원구 대부북동,1개,1개,1개
520,경기도 안산시 단원구 선부동,6개,4개,2개
521,경기도 안산시 단원구 신길동,3개,1개,1개
522,경기도 안산시 단원구 와동,3개,1개,2개
523,경기도 안산시 단원구 원곡동,2개,2개,1개
524,경기도 안산시 단원구 초지동,4개,2개,1개
525,경기도 안산시 상록구 건건동,2개,0개,0개
526,경기도 안산시 상록구 본오동,5개,3개,3개
527,경기도 안산시 상록구 부곡동,3개,1개,2개
528,경기도 안산시 상록구 사동,7개,5개,1개
