address,공시가격,좌표,초등학교,중학교,고등학교,유치원,학원,병원,약국,보건소,헬스장,체육관,수영장,영화관,카페,공원,놀이터,도서관,백화점,대형마트,복합쇼핑센터,시장,사회복지관,경로당,어린이집
경기도 광주시 경안동,106330162,"37.411371,127.253681",0,0,0,4,85,60,18,1,6,0,0,1,93,5,0,1,0,1,0,0,0,14,0
경기도 광주시 쌍령동,161638012.4,"37.403219,127.271488",0,0,0,3,29,6,2,0,0,0,0,0,15,0,1,0,0,0,0,0,0,10,0
경기도 광주시 송정동,145674376.4,"37.420860,127.259197",1,1,3,2,23,5,2,0,0,0,1,0,44,0,0,0,0,0,0,0,0,17,2
경기도 광주시 회덕동,118852005.4,"37.433380,127.243864",0,0,0,1,4,3,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0
경기도 광주시 탄벌동,179870548.8,"37.418521,127.241749",1,1,0,3,45,8,4,0,2,0,0,0,17,1,0,0,0,0,0,0,0,11,3
경기도 광주시 목현동,115538400.8,"37.433565,127.219448",0,0,0,0,2,0,1,0,1,0,0,0,14,0,0,0,0,0,0,0,0,4,0
경기도 광주시 삼동,111446652.5,"37.413664,127.201486",0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0
경기도 광주시 중대동,101120324.3,"37.404001,127.219298",0,0,0,1,22,5,2,0,0,0,0,0,24,1,0,0,0,0,0,0,0,2,0
경기도 광주시 직동,62017008.2,"37.399753,127.193409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
경기도 광주시 태전동,206126508.4,"37.392656,127.221002",1,1,1,5,77,30,11,1,1,0,1,0,43,5,8,1,0,0,0,0,0,22,4
경기도 광주시 장지동,145433634.6,"37.396578,127.238237",0,0,0,0,21,7,2,0,1,0,1,0,17,0,0,0,0,0,0,0,0,8,0
경기도 광주시 역동,196977568,"37.404382,127.256258",0,0,0,1,18,29,7,0,0,0,0,1,21,2,0,0,0,1,0,0,0,11,0
